2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Red Line Collector | routeID=20 | poll=15s | timeout=10s
2026-03-03 07:11:59  INFO      CSV  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:11:59  INFO      Log  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_collector.log
2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Created CSV with headers: /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:50:50  INFO      HEARTBEAT | snapshot=2026-03-03 12:50:50 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:51:05  INFO      HEARTBEAT | snapshot=2026-03-03 12:51:05 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:51:21  INFO      HEARTBEAT | snapshot=2026-03-03 12:51:20 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:51:36  INFO      HEARTBEAT | snapshot=2026-03-03 12:51:36 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:51:51  INFO      HEARTBEAT | snapshot=2026-03-03 12:51:51 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:52:07  INFO      HEARTBEAT | snapshot=2026-03-03 12:52:06 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:52:22  INFO      HEARTBEAT | snapshot=2026-03-03 12:52:22 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:52:38  INFO      HEARTBEAT | snapshot=2026-03-03 12:52:37 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:52:53  INFO      HEARTBEAT | snapshot=2026-03-03 12:52:53 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:53:09  INFO      HEARTBEAT | snapshot=2026-03-03 12:53:08 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:53:24  INFO      HEARTBEAT | snapshot=2026-03-03 12:53:24 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:53:39  INFO      HEARTBEAT | snapshot=2026-03-03 12:53:39 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:53:55  INFO      HEARTBEAT | snapshot=2026-03-03 12:53:54 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:54:10  INFO      HEARTBEAT | snapshot=2026-03-03 12:54:10 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:54:26  INFO      HEARTBEAT | snapshot=2026-03-03 12:54:25 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:54:42  INFO      HEARTBEAT | snapshot=2026-03-03 12:54:41 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:54:57  INFO      HEARTBEAT | snapshot=2026-03-03 12:54:57 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:55:13  INFO      HEARTBEAT | snapshot=2026-03-03 12:55:12 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:55:29  INFO      HEARTBEAT | snapshot=2026-03-03 12:55:28 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:55:44  INFO      HEARTBEAT | snapshot=2026-03-03 12:55:44 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:56:00  INFO      HEARTBEAT | snapshot=2026-03-03 12:55:59 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:56:15  INFO      HEARTBEAT | snapshot=2026-03-03 12:56:15 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:56:30  INFO      HEARTBEAT | snapshot=2026-03-03 12:56:30 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:56:45  INFO      HEARTBEAT | snapshot=2026-03-03 12:56:45 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:57:00  INFO      HEARTBEAT | snapshot=2026-03-03 12:57:00 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:57:16  INFO      HEARTBEAT | snapshot=2026-03-03 12:57:15 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:57:31  INFO      HEARTBEAT | snapshot=2026-03-03 12:57:31 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:57:46  INFO      HEARTBEAT | snapshot=2026-03-03 12:57:46 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:58:02  INFO      HEARTBEAT | snapshot=2026-03-03 12:58:01 | vehicles=1 | rows=1 | errors=0
